Place_Name,Description,Location,Adventure,Relax,Rural,Urban,Mountain,Historical,Food,Nature
Cam Ranh Long Beach,"Pristine beach with natural beauty, ideal for relaxing and swimming",Khanh Hoa,0,1,0,0,0,0,0,0
Ponagar Tower,"Ancient Cham architectural work, where visitors can learn about Cham history and culture",Khanh Hoa,0,0,0,1,0,1,0,0
Dien Khanh ancient citadel,"Historical site with unique ancient citadel architecture, built during the Nguyen Dynasty.",Khanh Hoa,0,0,0,0,0,1,0,0
VinWonders Nha Trang,"The amusement park on Hon Tre Island, stands out with many attractive games and activities.",Khanh Hoa,1,0,0,0,0,0,0,0
Ba Ho Stream,"Consists of three clear blue lakes located on the mountain, suitable for trekking and bathing in streams",Khanh Hoa,1,0,0,0,1,0,0,1
Phu Quoc Island,"Is the most famous tourist destination in Kien Giang, known as the ""Pearl Island"" with many beautiful beaches and high-class services.",Kien Giang,0,1,0,0,0,0,0,0
Mui Nai Beach,"Gentle beach, ideal place to relax and watch the sunset",Kien Giang,0,1,0,0,0,0,0,0
Lang Cat Pagoda,The ancient temple bears a strong Buddhist imprint.,Kien Giang,0,1,0,0,0,1,0,0
U Minh Thuong National Park,Mangrove forests with a rich ecosystem are an ideal place to explore wild nature and visit by boat,Kien Giang,1,0,0,0,0,0,0,1
Sister Su's grave,"Famous historical site, associated with the resistance war against the French.",Kien Giang,0,0,0,0,0,1,0,0
Kon Tum Wooden Church,A symbol of Kon Tum with unique architecture blending Roman style and Central Highlands culture,Kon Tum,0,0,0,0,1,0,0,0
Kon Klor Suspension Bridge,"The largest and most beautiful suspension bridge in Kon Tum, spanning the Dak Bla River, surrounded by green rice fields and mountains",Kon Tum,0,1,0,1,1,0,0,0
Chu Mom Ray National Park,"It is the largest nature reserve in Vietnam, featuring a rich ecosystem, primeval forests and rare animals.",Kon Tum,1,0,0,0,0,0,0,1
Ngoc Linh Peak,"The highest mountain in the Central Highlands, in the Truong Son range, is home to many rare flora and fauna species.",Kon Tum,0,0,0,0,1,0,0,0
Dak To Waterfall,"Located near Dak To town, this waterfall is wild and peaceful, an ideal place to relax in nature.",Kon Tum,0,1,0,0,0,0,0,1
